title,synopsis,genre_id
Super Battletank - War in the Gulf,Tank simulation game set during the Gulf War.,
Super Battletank 2,Sequel with new missions and tank models.,
Super Bikkuriman,Action platformer based on popular Japanese characters.,
SUPER BIRDIE RUSH,Golf game with power shots and arcade-style gameplay.,
Super Black Bass,Fishing simulation focused on catching bass in various lakes.,
Super Black Bass 3,Sequel with improved graphics and fishing mechanics.,
Super Bomberman,Classic multiplayer maze-based bomb-dropping action game.,
Super Bomberman 2,Sequel with new characters and multiplayer modes.,
Super Bomberman 3,Further expansion with new power-ups and levels.,
Super Bomberman 4,Multiplayer bomberman action with team battles.,
Super Bomberman 5: Gold Cartridge,Final installment with extensive multiplayer features.,
Super Bomberman: Panic Bomber W,Puzzle spin-off of the Bomberman series.,
Super Bombliss,Puzzle game similar to Tetris with bomb mechanics.,
Super Bonk 2 | Super Genjin 2,Platformer starring a caveman on prehistoric adventures.,
Super Bonk | Super B.C. Kid | Super Genjin,Original caveman platformer with cartoon-style fun.,
Super Bowling,Bowling simulation game with realistic physics.,
Super Buster Bros. | Super Pang,Arcade shooter destroying bouncing balloons.,
Super Caesars Palace | Super Casino - Caesars Palace,Casino simulation with various gambling games.,
Super Casino 2,Sequel with new casino games and features.,
Super Castles,Puzzle game combining block placement and strategy.,
Super Castlevania IV,Classic action platformer with whip combat in gothic settings.,
Super Chase H.Q.,Racing and police pursuit game with intense missions.,
Super Chinese Fighter,Fighting game with characters from the Super Chinese series.,
Super Chinese World 2: Uchuu Ichibuto Daikai,RPG sequel with sci-fi elements.,
Super Chinese World 3: Chou Jigen Daisakusen,Further RPG adventure with new characters.,
Super Conflict,Tactical war game focusing on modern military strategy.,
Super Cup Soccer,Arcade soccer game with fast-paced matches.,
Super Dany,Platformer starring a young hero on a mission to save the world.,
Super Double Dragon,Side-scrolling beat ‘em up with cooperative play.,
Super Double Yakuman,Mahjong game with professional rules and tournament mode.,
Super Double Yakuman II,Sequel with enhanced features and gameplay.,
Super Drift Out,Racing game focusing on rally and drifting.,
Super Dunk Star,Basketball game with arcade-style dunks and gameplay.,
Super E.D.F.: Earth Defense Force,Shooter where players defend Earth from alien invasions.,
Super F1 Circus,Formula 1 racing simulator with realistic cars and tracks.,
Super F1 Circus 2,Sequel with updated racing circuits and teams.,
Super F1 Circus 3,Further improvements in racing simulation and graphics.,
Super F1 Circus Gaiden,Spin-off with additional racing modes.,
Super F1 Circus Limited,Limited edition racing game with exclusive content.,
Super Famicom Wars,Turn-based tactical strategy game set in a fictional war.,
Super Family Circuit,Racing game featuring family-friendly competition.,
Super Family Gelaende,Off-road racing game with various vehicles and tracks.,
The Super Aquatic Games Starring the Aquabats,Sports game with underwater-themed mini-games.,
Super Famista 1 | Super Batter Up,Baseball game with simplified controls and arcade action.,
Super Famista 2,Sequel improving gameplay and team options.,
Super Famista 3,Further baseball simulation with expanded features.,
Super Famista 4,Baseball game with realistic pitching and batting mechanics.,
Super Famista 5,Latest in the series with refined gameplay and graphics.,
Super Final Match Tennis,Tennis game featuring professional players and realistic mechanics.,
Super Fire Pro Wrestling,Wrestling game with deep customization and move sets.,
Super Fire Pro Wrestling 2,Deep wrestling sim with detailed moves and strategic bouts.,
Super Fire Pro Wrestling III: Easy Type,Accessible wrestling action with toned-down mechanics for newcomers.,
Super Fire Pro Wrestling III: Final Bout,Intense finale with expanded roster and high-stakes matches.,
Super Fire Pro Wrestling Special,Special edition featuring enhanced graphics and refined gameplay.,
Super Fire Pro Wrestling X,Advanced wrestling gameplay with cinematic presentation.,
Super Fire Pro Wrestling X Premium,Deluxe edition with extra fighters and match types.,
Super Fire Pro Wrestling: Queens Special,Women’s wrestling-focused game with unique stars.,
Super Fishing Big Fight,Bass fishing simulator with big catch challenges.,
Super Formation Soccer 94 - World Cup Edition,Soccer game with World Cup-themed modes and teams.,
Super Formation Soccer 95 - della Serie A,Italian Serie A soccer action with authentic teams.,
Super Formation Soccer 96 - World Club Edition,Club soccer tournament gameplay with global teams.,
Super Formation Soccer II,Classic soccer sim with improved controls and tactics.,
Super Ghouls 'n Ghosts,Hardcore platformer where a knight battles undead through deadly stages.,
Super Goal! 2,Arcade-style soccer game with fast gameplay and big goals.,
Super Goal! | Goal!,Early 16-bit soccer action focusing on quick matches.,
Super Godzilla,Side-scrolling beat ’em up starring Godzilla against monsters.,
Super Gomoku Narabe - Renju,Classic Renju board game port with AI play.,
Super Gomoku Shougi: Jouseki Kenkyuu Hen,Combination shogi and Renju puzzle strategy game.,
Super Gussun Oyoyo,Unique rhythm-action game using a pogo stick-inspired character.,
Super Gussun Oyoyo 2,Sequel with more rhythm levels and quirky gameplay.,
Super Hanafuda,Digital rendition of classic Japanese flower-card matching game.,
Super Hanafuda 2,Enhanced match-play with additional modes and visuals.,
Super High Impact,Intense football simulation with arcade flair and full-contact play.,
Super Honmei - G1 Seiha,Horse racing sim focused on G1 championship races.,
Super Ice Hockey,Fast-paced ice hockey game with realistic rink action.,
Super Igo - Go Ou,Shogi-like adaptation with strategic AI opponents.,
Super Indy Champ,American-style open-wheel racing with competitive tracks.,
Super International Cricket,International cricket simulation with global teams.,
Super James Pond,Colorful platformer featuring a fish secret agent on bizarre missions.,
Super Jangou,Mahjong game focusing on regional Jangō rules and strategies.,
Super Jinsei Game,Japanese board game about life decisions and success.,
Super Jinsei Game 2,Sequel with more life events and board variation.,
Super Jinsei Game 3,Expanded version with new scenarios and multiplayer options.,
Super Keiba,Basic horse racing game with betting and racing elements.,
Super Keiba 2,Sequel with improved visuals and tracking of horses.,
Super Keirin,Bicycle racing game focused on sprint track competitions.,
Super Koukou Yakyuu - Ikkyuu Nyuukon,High school baseball sim for rookie-level leagues.,
Super Kyousouba - Kaze no Sylphid,Horse racing game with fantasy-themed drift gameplay.,
Super Kyoutei,Speedboat racing game with tuning and betting options.,
Super Kyoutei 2,Sequel featuring more courses and boat varieties.,
Super Kyuukyoku Harikiri Stadium,Extreme challenge game with risky sports and reactions.,
Super Kyuukyoku Harikiri Stadium 2,New combos and intense sports challenges.,
Super Loopz,Music rhythm game with looping patterns and sound puzzles.,
Super Mad Champ,Futuristic bike racing with weapon combat in wild circuits.,
Super Mahjong,Classic mahjong tile game with AI opponents.,
Super Mahjong 2,Enhanced scoreboard and strategic tile gameplay.,
Super Mahjong 3,Further refined mahjong with more modes and trivia.,
Super Mahjong Taikai,Tournament-style mahjong with competitive play.,
Super Mario All-Stars,Collection of updated Mario classics with enhanced graphics.,
Super Mario Kart,Iconic kart racing game with power-ups and multiplayer battles.,
Super Mario RPG: Legend of the Seven Stars,Beloved RPG blending Mario with deep storytelling and combat.,
Super Mario World,Platforming masterpiece introducing Yoshi and expansive levels.,
Super Mario World 2: Yoshi's Island,Prequel featuring baby Mario riding Yoshi through creative stages.,
Super Metroid,Atmospheric and exploration-heavy sci-fi action platformer.,
Super Moero!! Pro Yakyuu,Intense baseball sim with deep team management.,
Super Momotarou Dentetsu DX,Board-game-style train tycoon with travel and luck mechanics.,
Super Momotarou Dentetsu II,Second outing expanding the board and regional assets.,
Super Momotarou Dentetsu III,Further-expanded tycoon game with more Japanese locales.,
Super Morph,Puzzle-platformer where players change forms to navigate obstacles.,
Super Naxat Open: Golf de Shoubu da! Dorabocchan,Quirky golf showdown with cartoon-style presentation.,
Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjouki,Puzzle spin-off of Puyo series with strange characters.,
Super Nazo Puyo: Ruruu no Ruu,Sequel featuring new puzzle challenges and gameplay twists.,
Super Nichibutsu Mahjong,Traditional mahjong sim from Nichibutsu arcades.,
Super Nichibutsu Mahjong 2 - Zenkoku Seiha Hen,Mahjong with a national victory tournament theme.,
Super Nichibutsu Mahjong 3 - Yoshimoto Gekijou Hen,Rally-style mahjong set in theater stages.,
Super Nichibutsu Mahjong 4 - Kisokenkyuu Hen,Advanced mahjong studying strategies and patterns.,
Super Ninja Boy | Super Chinese World,"Action RPG mixing platforming, kung-fu, and humor.",
Super Ninja-kun,High-speed platformer with acrobatic ninja moves.,
Super Nova | Darius Force,Sci-fi shooter with multi-directional ships and powerups.,
Super Off Road,Rough-and-tumble racing on mini off-road tracks.,
Super Off Road: The Baja,Open-styled racing across Baja-styled tracks.,
Super Okumanchouja Game,Regional trivia and puzzle collection from Japan.,
Super Oozumou - Nessen Ooichiban,Sumo wrestling action with over-the-top moves.,
Super Pachi-Slot Mahjong,Hybrid mahjong and pachislot simulation.,
Super Pachinko,Multi-machine digital pachinko simulator.,
Super Pachinko Taisen,Action-pachinko battle game with competitive mechanics.,
Super Pinball II: The Amazing Odyssey,Themed pinball table with fantasy elements.,
Super Pinball: Behind the Mask,Pinball game featuring masked characters and story mode.,
Super Play Action Football,Simplified football arcade sim with quick plays.,
Super Power League,Animated baseball sim with lively character animations.,
Super Power League 2,Sequel with updated teams and improved gameplay.,
Super Power League 3,Enhanced gameplay with strategy and stat depth.,
Super Power League 4,Latest entry with refined mechanics and realism.,
Super Punch-Out!!,Fast-paced arcade-style boxing ring drama.,
Super Putty,Puzzle-action where putty morphs to solve platform challenges.,
Super Puyo Puyo,Beloved falling-block puzzle with colorful blobs and combos.,
Super Puyo Puyo 2,Improved sequel with new modes and characters.,
Super Puyo Puyo 2 Remix,Alternate version with remix-themed puzzle challenges.,
Super R-Type,Shooter featuring the R‑Type series with ship upgrades and bosses.,
Super R.B.I. Baseball,Arcade-style baseball titles with announcer flair.,
Super Real Mahjong PIV,Realistic mahjong with rich graphics and table variety.,
Super Real Mahjong PV Paradise: All-Star 4-nin Uchi,Mahjong tourney featuring four AI personalities.,
Super Robot Taisen EX,Tactical mecha strategy RPG with crossover robots.,
Super Robot Taisen Gaiden: Masou Kishin - The Lord of Elemental,Spin-off with unique robot units and elemental combat.,
Super Robot Wars 3 | Dai-3-Ji Super Robot Taisen,Expanded mecha RPG epic with multiple robotic factions.,
Super Robot Wars 4 | Dai-4-Ji Super Robot Taisen,Sequel offering enhanced visuals and cross-series strategy.,
Super Rugby,Rugby simulation with team strategy and realistic matches.,
Super Sangokushi | Romance of the Three Kingdoms I,Turn‑based strategy adapting classic Romance of the Three Kingdoms.,
Super Scope 6,Arcade shooter using the Super Scope lightgun for six mini-games.,
Super Shougi,Digital shogi game with professional board styles.,
Super Shougi 2,Sequel adding new opponents and refined UI.,
Super Shougi 3: Kitaihei,Third shogi edition with advanced AI and ranking play.,
Super Slam Dunk,Basketball sim capturing dunk action and fast offense.,
Super Slap Shot,Hockey game with slap shots and speedy rink battles.,
Super Smash T.V.,Twin-stick shooter inside a violent game show arena.,
Super Soccer,Arcade soccer game with team-based strategies.,
Super Soccer Champ | Hat Trick Hero,Fast arcade soccer with flashy goals.,
Super Solitaire,Classic card puzzle with smooth single-player play.,
Super Soukoban,Box-pushing puzzle game testing spatial reasoning.,
Super Star Wars,Movie-licensed action platformer through iconic Star Wars levels.,
Super Star Wars: Return of the Jedi,Platformer adapting the third Star Wars film.,
Super Star Wars: The Empire Strikes Back,Movie adaptation beat‑em up from Star Wars universe.,
Super Street Fighter II: The New Challengers,Expanded fighter roster and improved special moves.,
Super Strike Eagle,Jet combat sim with modern aerial warfare.,
Super Tekkyuu Fight!,Tennis action with energetic character play.,
Super Tennis,Smooth and balanced tennis gameplay with pro-level fun.,
Super Tennis: World Circuit,Expanded tennis sim with tournament career mode.,
Super Tetris 2 + Bombliss,Addictive block-matching with bomb-clearing twist.,
Super Tetris 2 + Bombliss: Genteiban,Limited edition with extra puzzles and challenges.,
Super Tetris 3,Block puzzle expansion with new piece types and layouts.,
Super Tramp Collection,Collection of casual games and puzzles.,
Super Tramp Collection 2,Additional fun mini-games in a quirky set.,
Super Troll Islands,Platformer starring a troll on a whimsical quest.,
Super Tsumeshougi 1000,Shogi tactic puzzles with 1000 challenge scenarios.,
Super Turrican,Run-and-gun shooter with stunning visuals and action.,
Super Turrican 2,Bigger environments and powerful upgrades in sequel.,
Super Uno,Digital Uno card game for family and multiplayer fun.,
Super V.G.,Versatile fighting game with fast-paced matches.,
Super Valis IV,Action platformer with swords and magic in a fantasy world.,
Super Wagyan Land,Cute puzzle adventure with character-based mini-games.,
Super Wagyan Land 2,Sequel delivering more whimsical puzzles and stages.,
Super Widget,Platformer featuring a shape-shifting hero in cosmic adventures.,
Super Wrestle Angels,Women’s wrestling sim with management and moves.,
Super Yakyudou,Baseball sim with team customization and league play.,
Super Zugan - Hakotenjou kara no Shoutaijou,Adventure game with mythical summons and puzzles.,
Super Zugan 2 - Tsukanpo Fighter,Sequel featuring more summons and combat strategy.,
Sutobasu Yarou Show,Basketball show-style game with flashy play.,
Sutte Hakkun,Cute puzzle-platformer with a color-collecting bird.,
Sutte Hakkun - 98 Fuyu Event Version,Winter-themed version with festive levels.,
Suzuka 8 Hours,Motorcycle endurance race sim based on the famous event.,
SWAT Kats: The Radical Squadron,Action game featuring the heroic cat pilots.,
Sword World SFC,RPG adapting Japanese tabletop fantasy duels.,
Sword World SFC 2 - Inishie no Kyojin Densetsu,Sequel expanding RPG story and mechanics.,
Sydney Hunter and the Caverns of Death,Platformer in the vein of Indiana Jones–style archaeology.,
Syndicate,Dark tactical sci-fi sim blending strategy and action.,
Syvalion,Shoot‑‘em‑up with futuristic dragon aircraft.,
T2: The Arcade Game,"Violent, fast-paced shooter based on Terminator 2 movie.",
Table Game Daishuugou!!,Collection of classic Japanese board and card games.,
Tactical Soccer,Strategy-heavy soccer sim emphasizing tactics and formations.,
Tactics Ogre: Let Us Cling Together,Deep tactical RPG with branching story paths.,
Tadaima Yuusha Boshuuchuu Okawari,Parody hero quest parodying the hiring process for heroes.,
Taekwon-Do,Martial arts fighting sim with real-world Taekwon‑Do techniques.,
Taikou Rishinden,Historical action game with samurai duels and strategic elements.,
Taikyoku Igo - Goliath,Large-scale Go board game with epic match options.,
Taikyoku Igo - Idaten,Go simulator offering high-speed AI match alternatives.,
Taiwan 16 Mahjong II - Horoscope Girls Edition,Mahjong with zodiacs and character-themed tiles.,
Take Yutaka GI Memory,Horse racing sim based on the famed jockey’s legacy.,
Takeda Nobuhiro no Super League Soccer,Sports game endorsed by famous soccer player.,
Takemiya Masaki Kudan no Igo Taishou,Go game endorsed by top professional player.,
Tales of Phantasia,Classic RPG celebrated for its emotional story and live-action battles.,
Tamagotch Town,Virtual pet simulation in a town environment.,
Tamori no Picross,Picross puzzle game featuring Japan’s comedian host Tamori.,
Tarot Mystery,Mystical puzzle game exploring tarot card meanings.,
Taz-Mania,"Cartoon platformer starring Taz in wild, Looney Tunes–style levels.",
Tecmo Secret of the Stars,Fantasy RPG with turn-based combat and magic.,
Tecmo Super Baseball,Baseball arcade-style action with fast pace.,
Tecmo Super Bowl,Iconic football sim with fast gameplay and team strategies.,
Tecmo Super Bowl II - Special Edition,Expanded NFL roster and improved play modes.,
Tecmo Super Bowl III - The Final Edition,Final edition with full NFL season features.,
Tecmo Super NBA Basketball,Fast-paced arcade basketball sim with pro players.,
Teenage Mutant Ninja Turtles IV: Turtles in Time,Beloved beat‑em‑up with turtles fighting through time.,
Teenage Mutant Ninja Turtles: Tournament Fighters,Versus fighter starring TMNT characters.,
Tekichuu Keiba Juku,Horse racing training school sim with betting elements.,
Tenchi Muyo! Game-Hen,RPG adventure based on Tenchi Muyo anime.,
Tenchi o Kurau: Sangokushi Gunyuuden,Tactics game blending RPG with Three Kingdoms themes.,
Tengai Makyou Zero,Action RPG with open world and unique fantasy elements.,
Tenshi no Uta: Shiroki Tsubasa no Inori | Song of the Angel,RPG featuring angels and spiritual story.,
Terminator 2: Judgment Day,Action-packed run-and-gun based on the blockbuster film.,
Terranigma,Epic action RPG about restoring Earth’s continents and healing the world.,
Test Drive II: The Duel,Classic racing game with exotic cars and mountain roads.,
Tetris 2,Puzzle sequel introducing new block shapes and challenge modes.,
Tetris and Dr. Mario,Combo puzzle game offering both Tetris and Dr. Mario modes.,
Tetris Attack,Competitive puzzle game featuring vertical match mechanics.,
Tetris Battle Gaiden,Anime style Tetris battle with special moves.,
Tetsuwan Atom,Action game based on Astro Boy’s adventures.,
The Terminator,Movie tie-in action game featuring time-travel combat.,
The Tick,Quirky superhero action game starring The Tick comic character.,
Theme Park,Simulation game building and managing theme parks.,
Thomas the Tank Engine & Friends,Kid-friendly train sim with beloved characters.,
Thoroughbred Breeder,Horse breeding and racing simulation.,
Thoroughbred Breeder II,Enhanced breeding features and genetics systems.,
Thoroughbred Breeder III,Latest in series with realistic race planning and breeding.,
Thunder Spirits,Shmup game with heavy metal styling and explosive action.,
The Twisted Tales of Spike McFang | Cho Makai Taisen! Dorabocchan,Cartoonish gothic adventure RPG with vampire themes.,
The Untouchables,Action game based on the Prohibition-era law enforcers.,
The Violinist of Hameln,Fantasy side-scroller with musical magic and storytelling.,
Time Slip,Time-traveling action game across eras.,
Time Trax,Sci-fi action engaging criminals across time.,
Timeсop,Police time-travel shooter based on the film.,
Timon and Pumbaa's Jungle Games,Kid-friendly mini-games hosted by the fun duo.,
Tin Star,Cartoon platformer featuring an anime cowboy hero.,
Tintin in Tibet,Non-violent platform adventure where Tintin navigates snowy mountains and puzzles to rescue his friend Chang.,
Tiny Toon Adventures: Buster Busts Loose!,Whimsical platformer where Buster Bunny leaps through cartoon levels to rescue his friends.,
Tiny Toon Adventures: Wacky Sports Challenge,Silly mini‑game sports compilation featuring beloved Tiny Toon characters.,
TKO Super Championship Boxing,Arcade-style boxing sim with over-the-top punches and flashy presentations.,
TNN Bass Tournament of Champions,Competitive fishing game featuring tournament-style bass fishing action.,
Todd McFarlane's Spawn: The Video Game,Dark beat‑’em‑up where Spawn battles demons across gritty environments.,
Tokimeki Memorial: Densetsu no Ki no Shita de | Heartthrob Memorial,Romantic dating sim following high schoolers building relationships with memorable characters.,
Tokoro's Mahjong,Casual mahjong title featuring Japanese comedian Tokoro as a quirky AI opponent.,
Tom and Jerry,"Cartoon platformer where Tom chases Jerry through chaotic, slapstick levels.",
Tommy Moe's Winter Extreme - Skiing and Snowboarding,Cold-weather sports game with skiing and snowboarding challenges.,
Tony Meola's Sidekicks Soccer,Arcade soccer title featuring goalkeeping legend Tony Meola and fast-paced matches.,
Top Gear,Iconic arcade racer with fast cars and track-based competition.,
Top Gear 2,"Enhanced sequel with updated tracks, vehicles, and improved graphics.",
Top Gear 3000,Futuristic racing game set in the year 3000 with advanced vehicles and tech.,
Top Management II,Business sim focused on managing a company's strategy and growth.,
Toride,Strategy puzzle game where players build defenses and protect a castle from invaders.,
Torneko no Daibouken: Fushigi no Dungeon,Roguelike RPG starring Dragon Quest’s merchant Torneko exploring randomized dungeons.,
Total Carnage,Chaotic run‑and‑gun shooter filled with over-the-top action and destructible environments.,
Tottemo! Lucky Man - Lucky Cookie Roulette de Totsugekii,Quirky roulette-based mini‑game with wacky outcomes and humor.,
Touge Densetsu - Saisoku Battle,Drift racing game featuring mountain passes and competitive speed challenges.,
Tower Dream,Strategy sim where you construct and defend towers against incoming threats.,
Toy Story,Platformer adaptation where Woody and Buzz journey through toy-themed levels to escape Sid’s house.,
Toys,Action-adventure adapting the fantasy-filled world of the movie *Toys* with quirky toy-based mechanics.,
Traverse: Starlight & Prairie,Fantasy RPG blending adventure and exploration in pastoral and celestial settings.,
Treasure Conflix,Puzzle game about matching treasure items while avoiding explosive traps.,
Treasure Hunter G,RPG where explorers seek artifacts in a sci‑fi western steampunk world.,
Trials of Mana,Action RPG where three heroes from six search for the Mana Sword to stop world‑ending monsters. ([Wikipedia][3]),
Trinea,Fantasy adventure game starring a half-human hero on a quest to save his kingdom (Presumed RPG/platformer).,
Troddlers,Logic/platform puzzle game directing characters to activate switches and solve stage‑based mazes.,
Troy Aikman NFL Football,Realistic American football sim featuring quarterback Troy Aikman and NFL gameplay.,
True Golf Classics - Pebble Beach Golf Links,Realistic golf simulation set on the famed Pebble Beach course.,
True Golf Classics - Waialae Country Club,Golf sim recreating Hawaii’s Waialae Country Club with detailed play mechanics.,
True Golf Classics - Wicked 18,Challenging golf game featuring extreme and creative course designs.,
True Lies,"Action beat‑’em‑up based on the movie, with espionage and explosive fight sequences.",
Tsuppari Oozumou - Risshinshusse Hen,Sumo wrestling sim focusing on training and climbing rank in pro sumo.,
Tsuri Tarou,Light-hearted fishing game with simplistic mechanics and casual angler fun.,
Tsuyoshi Shikkari Shinasai: Taisen Puzzle Dama,Competitive match‑3 puzzle game with characters from Japanese comedy.,
Tuff E Nuff,2D fighting game where martial artists battle through tournaments using powerful techniques.,
Turbo Toons,Fast-paced platformer starring cartoon rapids and zany levels.,
Turf Hero,Horse racing sim focusing on jockey perspective and betting strategy.,
Turf Memories,Nostalgic horse racing game with retro aesthetics and race tracking.,
Turn and Burn: No-Fly Zone,Jet combat sim featuring aerial dogfights and scenic terrains.,
U.N. Squadron,Side-scrolling shooter where elite pilots fight alien threats using upgradeable aircraft.,
Uchuu no Kishi: Tekkaman Blade,Action game where players control Tekkaman Blade in mech-based combat.,
Uchuu Race: Astro Go! Go!,Futuristic racing game featuring hovercraft fast tracks in space.,
UFO Kamen Yakisoban: Kettler no Kuroi Inbou,Odd tokusatsu-themed beat ‘em up with comedic sci‑fi elements.,
Ugoku E Ver. 2.0: Aryol,Animated puzzle adventure with moving scenes and interactive storybook gameplay.,
Ultima VI: The False Prophet,Deep RPG set in Britannia full of moral choices and open-world exploration.,
Ultima VII: The Black Gate,Immersive and nonlinear RPG with expansive world and story-driven quests.,
Ultima: Kyouryuu Teikoku | Ultima: Savage Empire,JRPG set in a dinosaur-filled island with classic Ultima mechanics.,
Ultima: Runes of Virtue II,Light-hearted Ultima spin‑off focusing on puzzle-solving quests.,
Ultimate Fighter,Early fighting game featuring various combat styles and one-on-one battles.,
Ultimate Mortal Kombat 3,"Enhanced version of MK3 with more characters, modes, and fatalities.",
Ultra Baseball Jitsumei-ban 2 | Ultra Baseball Real Names Version 2,Baseball sim with official teams and player names.,
Ultra Baseball Jitsumei-ban 3 | Ultra Baseball Real Names Version 3,Sequel featuring updated rosters and improved gameplay.,
Ultra Baseball Jitsumei-ban | Ultra Baseball Real Names Version,Baseball title with licensed players and teams.,
Ultra League - Moero! Soccer Daikessen!!,Arcade soccer game with exaggerated action and arcade flair.,
Ultraman,Side-scrolling action adapting the classic hero fighting kaiju with special moves.,
Ultraman: Towards the Future,Enhanced Ultraman action game with updated characters from the newer series.,
Ultraseven,Platformer based on the Ultraseven hero battling otherworldly enemies.,
Umi no Nushi Tsuri,Serene fishing sim focusing on coastal marine life and peaceful gameplay.,
Umihara Kawase,Unique physics‑based platformer starring a girl using a fishing line to navigate levels.,
Umizuri Meijin - Suzuki Hen,Fishing game featuring pro techniques and simulated competitions.,
Uncharted Waters,"Nautical RPG where players explore, trade, and battle during the Age of Sail.",
Uncharted Waters: New Horizons,"Expanded seafaring sim with deeper trade, exploration, and character interactions.",
Undake30 Same Game Daisakusen: Mario Version,Puzzle game where Mario-themed tiles are cleared through matching clusters.,
Undercover Cops,Beat‑’em‑up in a dystopian city with cyborg cops fighting crime.,
Uniracers | Unirally,Unique racing game where unicycles race through gravity-defying tracks.,
Urban Strike,Action-packed shoot‑’em‑up combining helicopter combat with urban environments.,
Ushio to Tora,"Action RPG based on the manga, featuring demon-slaying adventure.",
Utopia: The Creation of a Nation,City-builder sim where players manage settlements and resources on an island.,
Vegas Stakes,"Casino game featuring poker, blackjack, and slot machines in Las Vegas style.",
Venom and Spider-Man: Separation Anxiety,Beat‑’em‑up where Venom and Spidey join forces against villains.,
Verne World,Adventure platformer with steampunk aesthetics inspired by Jules Verne’s tales.,
Virtual Bart,Side-scrolling platformer where Bart Simpson embarks on internal “mental” adventures.,
Vortex,Fast-paced shooter in abstract 3D environments with a focus on speed and rhythm.,
Vs. Collection,Compilation of classic arcade fighting games with versus battle modes.,
Wagyan Paradise,Puzzle platformer set in a colorful world starring Wagyan characters.,
WakuWaku Ski Wonder Spur,Cartoon skiing game with imaginative courses and wacky obstacles.,
Wally o Sagase!: Ehon no Kuni no Daibouken,“Where’s Wally?”-style hidden object adventure in storybook settings.,
War 3010 - The Revolution,Futuristic strategy war game set in a dystopian battlefield.,
Waratte Iitomo! Tamolympic,Mini-game collection themed after the Japanese variety show *Waratte Iitomo!*.,
Wario's Woods,Puzzle game where Wario arranges monsters and bombs to clear levels.,
Warlock,Dungeon-crawling RPG focusing on magical battles and exploration.,
Warp Speed,Space shooter sim emphasizing high-velocity combat and reflex gameplay.,
Waterworld,"Platformer based on the movie, with aquatic levels and survival mechanics.",
Wayne Gretzky and the NHLPA All-Stars,Sim-style hockey game featuring Gretzky and pro teams.,
Wayne's World,"Comedy platformer based on the film, full of humor and music-themed levels.",
WCW Super Brawl Wrestling,Pro wrestling game featuring WCW stars in arcade matches.,
WeaponLord,Gritty weapon-based fighter with deep combos and realistic-style animations.,
Wedding Peach,Magical girl-themed beat‑’em‑up with romance and fantasy elements.,
The Wizard of Oz,Platforming adventure following Dorothy’s journey in Oz filled with iconic characters.,
We're Back! A Dinosaur's Story,Children’s platformer starring friendly dinosaurs on a city rescue mission.,
Wheel of Fortune,Trivia game based on the TV show with spinning puzzles and letter guessing.,
Wheel of Fortune Deluxe!,Enhanced version featuring more puzzle categories and improved presentation.,
Where in the World is Carmen Sandiego?,Educational geography game tasking players to track Carmen across the globe.,
Where in Time is Carmen Sandiego?,History-focused detective game sending players through historical eras to catch Carmen.,
Whirlo,Challenging platformer with gritty visuals and puzzle‑heavy levels.,
Whizz,Top-down puzzle platformer where players navigate mazes and avoid obstacles.,
Wild Guns,Fast-paced shooter set in a futuristic Wild West with cooperative play.,
WildC.A.T.S.,"Action game based on the comic, featuring team-based superhero combat.",
WildSnake | Super Snakey,Snake-themed puzzler where chaining mechanics and speed are key.,
Williams Arcade's Greatest Hits,Compilation of classic Williams arcade titles like *Joust* and *Robotron*.,
Wing Commander,Space combat sim with cinematic story and detailed dogfights.,
Wing Commander: The Secret Missions,Expansion set with new missions and campaign scenarios.,
Wings 2: Aces High,Flight sim focusing on WWI dogfights and aerial strategy.,
Winning Post,"Horse racing sim with breeding, training, and betting elements.",
Winning Post 2,Sequel expanding management features and racing depth.,
Winning Post 2: Program '96,Updated version featuring new datasets and improvements for ’96 season.,
Winter Gold,"Winter multi-sport game featuring skiing, skating, and snow competitions.",
Winter Olympic Games: Lillehammer '94,Olympic sports sim featuring Lillehammer ’94 winter events.,
Wizap! - Ankoku no Ou,RPG with dark-fantasy themes and quest-driven gameplay.,
Wizardry Gaiden IV: Throb of the Demon's Heart,Deep dungeon-crawling RPG in the Wizardry universe.,
Wizardry I-II-III: Story of Llylgamyn,Compilation of early Wizardry adventures in a continuous saga.,
Wizardry V: Heart of the Maelstrom,Classic RPG filled with dungeon exploration and party-based combat.,
Wizardry VI: Bane of the Cosmic Forge,Complex Wizardry entry featuring interplanetary exploration and lore.,
Wolfchild,Action platformer where a boy transforms into a wolf-like creature to fight evil.,
Wolfenstein 3D,Pioneering first-person shooter where players escape a Nazi fortress in WWII.,
Wolverine: Adamantium Rage,Superhero action game featuring Wolverine’s claws and mutant powers.,
Wonder Project J: Kikai no Shounen Pino,Life-sim where you raise and teach a boy robot named Pino.,
Wondrous Magic,Fantasy RPG focusing on spellcasting and magical realm exploration.,
Wordtris,Word-building puzzle game where letters fall like Tetris and players form words.,
World Class Rugby,Rugby sim featuring realistic match play and team strategy.,
World Class Rugby 2,Enhanced sequel with improved graphics and gameplay mechanics.,
World Cup USA 94,Official soccer sim of the 1994 FIFA World Cup.,
World Heroes,Weapon-based fighting game featuring characters from various eras.,
World Heroes 2,"Sequel with new fighters, moves, and refined combat.",
World League Soccer,Team-based soccer game with league management and matches.,
World Masters Golf,Golf sim with world-class courses and player customization.,
World Soccer '94: Road to Glory,Arcade soccer game focused on winning world glory through tournaments.,
